length,isIp,countAt,countDoubleSlash,countHyphen,countDots,countDelimeters,countSubDirectory,countQueries,domainRegistrationLength,alexaGlobalRank,bounceRate,dailyPageViewsPerVisitor,dailyTimeOnSite,searchVisits,totalSitesLinkingIn,label
18.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,21.0,0.05,-1.0,-1.0,-1.0,-1.0,-1.0,0
18.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,31.0,0.06666666666666667,-1.0,-1.0,-1.0,-1.0,-1.0,0
25.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,22.0,0.0625,62.4,3.82,347.0,6.7,1608180.0,0
21.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,27.0,0.05555555555555555,-1.0,-1.0,-1.0,-1.0,-1.0,0
23.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,21.0,0.05263157894736842,-1.0,-1.0,-1.0,-1.0,-1.0,0
21.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,22.0,0.045454545454545456,-1.0,-1.0,-1.0,-1.0,-1.0,0
23.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,23.0,0.043478260869565216,-1.0,-1.0,-1.0,-1.0,-1.0,0
23.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,21.0,0.038461538461538464,72.5,1.79,123.0,11.1,15752.0,0
24.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,16.0,0.07692307692307693,-1.0,-1.0,-1.0,-1.0,-1.0,0
24.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,18.0,0.041666666666666664,61.3,2.43,187.0,42.3,14716.0,0
25.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,-1.0,0.037037037037037035,-1.0,-1.0,-1.0,-1.0,-1.0,0
23.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,20.0,0.034482758620689655,25.2,3.34,521.0,26.1,7881.0,0
21.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,11.0,0.03333333333333333,67.9,2.76,333.0,5.6,19669.0,0
23.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,-1.0,0.03225806451612903,-1.0,-1.0,-1.0,-1.0,-1.0,0
24.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,18.0,0.03571428571428571,43.6,4.52,371.0,18.0,1487498.0,0
15.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,22.0,0.029411764705882353,-1.0,-1.0,-1.0,-1.0,-1.0,0
24.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,-1.0,0.04,-1.0,-1.0,-1.0,-1.0,-1.0,0
20.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,21.0,0.03125,-1.0,-1.0,-1.0,-1.0,-1.0,0
23.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,23.0,0.030303030303030304,-1.0,-1.0,-1.0,-1.0,-1.0,0
26.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,15.0,0.027777777777777776,24.0,10.48,772.0,7.4,31920.0,0
22.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,16.0,0.02702702702702703,-1.0,-1.0,-1.0,-1.0,-1.0,0
12.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,8.0,0.025,73.6,2.17,38.0,4.9,98267.0,0
20.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,23.0,0.02631578947368421,29.8,6.77,549.0,17.6,124344.0,0
25.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,30.0,0.02564102564102564,58.8,2.54,172.0,28.4,441715.0,0
20.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,24.0,0.023809523809523808,51.5,2.15,153.0,4.3,70925.0,0
24.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,-1.0,0.019230769230769232,-1.0,-1.0,-1.0,-1.0,-1.0,0
23,0,0,1,0,2,0,2,1,2,-1,-1,-1,-1,-1,-1,0
21.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,25.0,0.02,-1.0,-1.0,-1.0,-1.0,-1.0,0
26,0,0,1,0,2,0,2,1,17,-1,-1,-1,-1,-1,-1,0
23.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,25.0,0.02040816326530612,18.1,10.7,883.0,17.6,7130.0,0
20.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,23.0,0.0196078431372549,43.1,3.96,209.0,50.9,238564.0,0
31.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,16.0,0.022222222222222223,45.8,1.89,54.0,3.1,1329.0,0
26,0,0,1,0,2,0,2,1,9,-1,-1,-1,-1,-1,-1,0
21.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,-1.0,0.023255813953488372,-1.0,-1.0,-1.0,-1.0,-1.0,0
22.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,19.0,0.024390243902439025,53.2,2.13,192.0,14.5,8132.0,0
